order_id,order_time,driver_arrival_time,driver_pickup_time,delivery_time,order_value,eater_id,order_ready,driver_arrival_period,driver_waiting_time
97c5c2d45,2023-06-01 07:12:00,2023-06-01 07:17:00,2023-06-01 07:23:00,2023-06-01 07:42:00,45.77,2430603926,11.0,5.0,6.0
482bb4a0e,2023-06-01 07:42:00,2023-06-01 08:00:00,2023-06-01 08:08:00,2023-06-01 08:21:00,18.91,9446274805,26.0,18.0,8.0
24623eb1e,2023-06-01 08:09:00,2023-06-01 08:19:00,2023-06-01 08:22:00,2023-06-01 08:45:00,1091.35,7874841234,13.0,10.0,3.0
0c193ca8c,2023-06-01 08:23:00,2023-06-01 08:40:00,2023-06-01 08:48:00,2023-06-01 09:14:00,40.6,6719063537,25.0,17.0,8.0
2bbb22d61,2023-06-01 08:24:00,2023-06-01 08:30:00,2023-06-01 08:40:00,2023-06-01 09:07:00,25.69,7212311132,16.0,6.0,10.0
c9c44353f,2023-06-01 08:30:00,2023-06-01 08:46:00,2023-06-01 08:55:00,2023-06-01 09:08:00,22.26,3627667674,25.0,16.0,9.0
0b57f1062,2023-06-01 09:05:00,2023-06-01 09:10:00,2023-06-01 09:19:00,2023-06-01 09:35:00,37.0,7319916788,14.0,5.0,9.0
c682a41db,2023-06-01 09:15:00,2023-06-01 09:25:00,2023-06-01 09:33:00,2023-06-01 09:49:00,596.48,4967005688,18.0,10.0,8.0
02d47c213,2023-06-01 09:38:00,2023-06-01 09:53:00,2023-06-01 09:56:00,2023-06-01 10:16:00,23.66,2953569297,18.0,15.0,3.0
4d0c9b7b8,2023-06-01 09:40:00,2023-06-01 09:45:00,2023-06-01 09:48:00,2023-06-01 10:12:00,29.88,2050206720,8.0,5.0,3.0
a01588712,2023-06-01 09:50:00,2023-06-01 09:56:00,2023-06-01 09:59:00,2023-06-01 10:22:00,41.54,5161735602,9.0,6.0,3.0
75c768b4e,2023-06-01 10:31:00,2023-06-01 10:46:00,2023-06-01 10:56:00,2023-06-01 11:24:00,21.32,2796726752,25.0,15.0,10.0
cad748b6a,2023-06-01 10:37:00,2023-06-01 10:51:00,2023-06-01 10:57:00,2023-06-01 11:20:00,28.09,8983244778,20.0,14.0,6.0
3a90c8adc,2023-06-01 10:48:00,2023-06-01 11:07:00,2023-06-01 11:12:00,2023-06-01 11:40:00,16.98,2335315875,24.0,19.0,5.0
36d79eb52,2023-06-01 10:48:00,2023-06-01 10:56:00,2023-06-01 11:02:00,2023-06-01 11:14:00,17.13,8607987568,14.0,8.0,6.0
b0bd48f19,2023-06-01 11:11:00,2023-06-01 11:29:00,2023-06-01 11:32:00,2023-06-01 11:49:00,35.55,4047390046,21.0,18.0,3.0
214b745c5,2023-06-01 11:32:00,2023-06-01 11:43:00,2023-06-01 11:51:00,2023-06-01 12:13:00,27.18,9249267810,19.0,11.0,8.0
ebbb22d42,2023-06-01 11:45:00,2023-06-01 11:53:00,2023-06-01 12:00:00,2023-06-01 12:13:00,12.27,6159024457,15.0,8.0,7.0
cece8d7c2,2023-06-01 11:52:00,2023-06-01 12:01:00,2023-06-01 12:08:00,2023-06-01 12:26:00,23.84,6473851164,16.0,9.0,7.0
087716d9e,2023-06-01 12:03:00,2023-06-01 12:20:00,2023-06-01 12:27:00,2023-06-01 12:51:00,23.8,6485189229,24.0,17.0,7.0
8372f42ea,2023-06-01 12:06:00,2023-06-01 12:17:00,2023-06-01 12:25:00,2023-06-01 12:50:00,17.93,1629463403,19.0,11.0,8.0
b0e9df6e3,2023-06-01 12:33:00,2023-06-01 12:49:00,2023-06-01 12:51:00,2023-06-01 13:12:00,39.57,5803020735,18.0,16.0,2.0
90bc6803e,2023-06-01 12:34:00,2023-06-01 12:40:00,2023-06-01 12:47:00,2023-06-01 12:59:00,20.55,4546727550,13.0,6.0,7.0
1706951b8,2023-06-01 13:20:00,2023-06-01 13:29:00,2023-06-01 13:35:00,2023-06-01 14:03:00,15.31,1173488334,15.0,9.0,6.0
d046a1a52,2023-06-01 13:51:00,2023-06-01 14:10:00,2023-06-01 14:19:00,2023-06-01 14:48:00,27.43,4823822372,28.0,19.0,9.0
0af9597e4,2023-06-01 14:01:00,2023-06-01 14:11:00,2023-06-01 14:17:00,2023-06-01 14:47:00,14.59,5245476173,16.0,10.0,6.0
bffcc885e,2023-06-01 14:04:00,2023-06-01 14:16:00,2023-06-01 14:23:00,2023-06-01 14:52:00,30.43,5831830882,19.0,12.0,7.0
e3169acf7,2023-06-01 14:14:00,2023-06-01 14:30:00,2023-06-01 14:37:00,2023-06-01 14:49:00,16.43,7827023322,23.0,16.0,7.0
041b7b2b6,2023-06-01 14:23:00,2023-06-01 14:36:00,2023-06-01 14:40:00,2023-06-01 14:54:00,51.39,7116596489,17.0,13.0,4.0
5123ff956,2023-06-01 14:26:00,2023-06-01 14:36:00,2023-06-01 14:46:00,2023-06-01 15:04:00,13.65,2366685929,20.0,10.0,10.0
bb9cb2070,2023-06-01 14:49:00,2023-06-01 15:05:00,2023-06-01 15:12:00,2023-06-01 15:39:00,1353.2,2140869118,23.0,16.0,7.0
9e5b7da19,2023-06-01 14:57:00,2023-06-01 15:05:00,2023-06-01 15:09:00,2023-06-01 15:23:00,13.65,5625958179,12.0,8.0,4.0
c4bcfadb0,2023-06-01 15:01:00,2023-06-01 15:12:00,2023-06-01 15:14:00,2023-06-01 15:26:00,28.9,5188471282,13.0,11.0,2.0
eff87eaba,2023-06-01 15:09:00,2023-06-01 15:23:00,2023-06-01 15:33:00,2023-06-01 15:52:00,11.38,2257102143,24.0,14.0,10.0
fa2c9d9b1,2023-06-01 15:41:00,2023-06-01 15:55:00,2023-06-01 15:57:00,2023-06-01 16:16:00,43.02,9110997965,16.0,14.0,2.0
