order_id,item_id,merchant_id
c2a865ebc,84,3e2b6
31ed084f3,222,3e2b6
7a02e9ee9,222,3e2b6
e60f03baf,98,3e2b6
e60f03baf,98,3e2b6
41a7a6d0f,265,3e2b6
1af7bf5f2,265,3e2b6
01ece679e,265,3e2b6
e252b6c95,265,3e2b6
4c25b839d,222,3e2b6
4c25b839d,265,3e2b6
0a7779d7c,222,3e2b6
24f376292,98,3e2b6
56ecd5a06,222,3e2b6
ef41e3e29,265,3e2b6
2d83c880b,265,3e2b6
16b43e0a3,265,3e2b6
fd9afcea2,265,3e2b6
2ba2f1266,265,3e2b6
322c77d55,222,3e2b6
15439323f,98,3e2b6
22653664e,98,3e2b6
3be459a06,84,3e2b6
023553063,98,3e2b6
f6975f8a3,98,3e2b6
356682f54,84,3e2b6
6bca12a00,265,3e2b6
a1d00a14f,98,3e2b6
120a408d6,265,3e2b6
02907e746,265,3e2b6
2fe4b20f3,265,3e2b6
ca998a526,265,3e2b6
dab68ac6b,98,3e2b6
8629308be,265,3e2b6
6a35be39e,222,3e2b6
e117da29c,222,3e2b6
3e18b3c67,84,3e2b6
3e18b3c67,222,3e2b6
563047e2c,265,3e2b6
8a340a344,265,3e2b6
ef3e5df7f,222,3e2b6
5da5c7157,84,3e2b6
3229bf784,265,3e2b6
204a9c565,265,3e2b6
4b82e4e94,84,3e2b6
619c4348b,265,3e2b6
e3dedc677,222,3e2b6
7c13c55a9,222,3e2b6
8e120f11f,222,3e2b6
8e3ba7e6c,265,3e2b6
3388ab1bf,84,3e2b6
217587056,265,3e2b6
5a515a810,98,3e2b6
89ddfd8dd,84,3e2b6
11d25dce8,84,3e2b6
028c44be0,265,3e2b6
c522c3aaf,98,3e2b6
0434fa689,265,3e2b6
c41e018a7,265,3e2b6
542a2d17f,222,3e2b6
c91bf996f,265,3e2b6
0d511d6d7,98,3e2b6
812aa8de1,84,3e2b6
97417431a,98,3e2b6
5d74cfe56,265,3e2b6
f0f7a1c0e,222,3e2b6
1f04c24f1,222,3e2b6
6dfde5f47,265,3e2b6
d083e8ef0,84,3e2b6
63b5da933,222,3e2b6
2056e0c73,265,3e2b6
74cb101cb,265,3e2b6
abbd8382d,265,3e2b6
1d1086353,98,3e2b6
1f171bfbc,265,3e2b6
13db6da9b,84,3e2b6
56b2180d7,222,3e2b6
2980ab9e8,222,3e2b6
bc4401935,84,3e2b6
fdf72f2ea,265,3e2b6
2b527053a,265,3e2b6
f02a2315b,84,3e2b6
00a969b7d,222,3e2b6
46505c386,222,3e2b6
21427c6cf,265,3e2b6
ac5f05321,98,3e2b6
af8123784,222,3e2b6
b67012f7d,98,3e2b6
a2d1fc5a6,265,3e2b6
7c2022708,84,3e2b6
7f7757fdf,265,3e2b6
b9c8f8607,84,3e2b6
765c0c097,222,3e2b6
7873be623,84,3e2b6
aca0f13da,84,3e2b6
6fcbcc72d,98,3e2b6
c129a9783,265,3e2b6
b4b2938fe,222,3e2b6
133ac87f8,265,3e2b6
944cf16a8,265,3e2b6
90a27415c,84,3e2b6
9c58e0493,98,3e2b6
832ffb649,222,3e2b6
8f5269c37,265,3e2b6
456f8d4b7,84,3e2b6
8a5933cfb,84,3e2b6
571dae7af,222,3e2b6
832e82f52,265,3e2b6
2b4b6508c,265,3e2b6
fa262bf83,98,3e2b6
ab15a91f4,98,3e2b6
295e2bf72,265,3e2b6
847a5f39d,222,3e2b6
430f7d88b,222,3e2b6
043d63a75,265,3e2b6
2d2c92bd2,265,3e2b6
57af6c890,222,3e2b6
3f00e28f8,265,3e2b6
02e2d836c,222,3e2b6
68b7101d6,98,3e2b6
c13b18d42,222,3e2b6
2269d14d1,265,3e2b6
7eedc088c,265,3e2b6
2ad9953be,98,3e2b6
787ae2c12,222,3e2b6
b0b620322,265,3e2b6
4482331cb,98,3e2b6
059dc97e2,98,3e2b6
192990ca8,98,3e2b6
0c3dd5379,84,3e2b6
750a7a46b,265,3e2b6
9f4594b71,265,3e2b6
37c2ea524,265,3e2b6
54a954a68,265,3e2b6
4775bff7c,265,3e2b6
9d2b75a90,222,3e2b6
354e95020,222,3e2b6
80e5b3999,222,3e2b6
31b1c7c7b,265,3e2b6
6d49557b5,222,3e2b6
07c712241,222,3e2b6
14390b0bf,222,3e2b6
832451eff,98,3e2b6
3df52ff0f,265,3e2b6
33aa76268,98,3e2b6
cb5660499,265,3e2b6
dda7b07e0,265,3e2b6
f81293030,265,3e2b6
465bee251,265,3e2b6
bcf3d5d68,84,3e2b6
9835103d4,84,3e2b6
ee84c4e97,98,3e2b6
deddfa6d7,265,3e2b6
f3ee54991,98,3e2b6
2c2b46277,265,3e2b6
ef926bc7c,98,3e2b6
efbaaa5f9,84,3e2b6
77414ecac,84,3e2b6
7e375447f,222,3e2b6
6cbad6adb,265,3e2b6
72586763b,265,3e2b6
9c74d6eed,265,3e2b6
b9a348774,265,3e2b6
f6eaaf19f,98,3e2b6
51afc72d4,98,3e2b6
59802bb91,98,3e2b6
708e68232,265,3e2b6
b8c031545,222,3e2b6
bff642396,84,3e2b6
9a81dc0cd,265,3e2b6
d86939574,98,3e2b6
6833e5157,265,3e2b6
835740865,98,3e2b6
9e9c64d66,84,3e2b6
3d09b8fb7,265,3e2b6
9b5b6f2f0,98,3e2b6
cd7056ced,98,3e2b6
94f2736f9,222,3e2b6
8d7b01dba,265,3e2b6
12cfa1e19,222,3e2b6
3857210e6,222,3e2b6
1c34b7d3b,265,3e2b6
109ee08bf,265,3e2b6
3b07e9e92,265,3e2b6
1f82502a4,265,3e2b6
c07daf6c3,222,3e2b6
720eaac0f,84,3e2b6
0c9ebae1d,265,3e2b6
57cb03e96,265,3e2b6
32342a2a0,265,3e2b6
cae14307d,265,3e2b6
8c74396d6,98,3e2b6
f41e84d63,265,3e2b6
4fcdaf512,222,3e2b6
0b94792c7,84,3e2b6
74b21e097,98,3e2b6
5e30b9533,265,3e2b6
0e44f2f8d,265,3e2b6
60a787bef,265,3e2b6
aa4f5e92a,265,3e2b6
c9b9b4d34,265,3e2b6
f5a4eb7b5,265,3e2b6
fbfcf23b9,265,3e2b6
687deeaf0,265,3e2b6
d5e5eae99,265,3e2b6
b6545ae25,84,3e2b6
6905fb3e7,84,3e2b6
c5377f7b7,84,3e2b6
769ae8a5c,84,3e2b6
46288569c,222,3e2b6
7c78c855e,265,3e2b6
2763f2d69,98,3e2b6
c4ba97b95,265,3e2b6
445c18703,265,3e2b6
aaef7bf66,222,3e2b6
f6fb8a213,84,3e2b6
fa51b3137,265,3e2b6
2351f2f75,265,3e2b6
0baebd0b0,265,3e2b6
b37c20f9b,98,3e2b6
c3f3c2638,84,3e2b6
6b3b91b3f,265,3e2b6
faaa77204,265,3e2b6
680e40952,84,3e2b6
96b0dae96,84,3e2b6
96b0dae96,84,3e2b6
bc3b1eeef,265,3e2b6
ffc1410ac,84,3e2b6
632c466f8,98,3e2b6
4fcce01f3,98,3e2b6
8d2e00927,265,3e2b6
04834d470,98,3e2b6
f01e821b2,84,3e2b6
cb46c8cf0,222,3e2b6
629b35279,265,3e2b6
629b35279,222,3e2b6
597899752,265,3e2b6
e3a1d27e8,265,3e2b6
35013ad09,222,3e2b6
7024019e5,265,3e2b6
852ab7855,98,3e2b6
e2dc56d63,222,3e2b6
c6577491e,265,3e2b6
c36359f43,98,3e2b6
76126cd15,265,3e2b6
d80e8dff2,265,3e2b6
480bd5623,222,3e2b6
c2f8c9578,84,3e2b6
1598e8b93,84,3e2b6
c0471e74d,222,3e2b6
375f8dbba,265,3e2b6
6faa40eeb,222,3e2b6
2183ef39c,98,3e2b6
7180d085c,265,3e2b6
86f19d3f7,265,3e2b6
41da99499,265,3e2b6
36305fd5e,265,3e2b6
8e3e1a175,84,3e2b6
8b131f073,98,3e2b6
7ab3f041c,98,3e2b6
29e4a0aaa,265,3e2b6
d96670374,98,3e2b6
930c27a69,98,3e2b6
daa615c73,265,3e2b6
a77b8dd03,265,3e2b6
b8ba6e477,265,3e2b6
5701d8c9c,265,3e2b6
c3a67a3b3,265,3e2b6
e1e4ea87f,265,3e2b6
8ba28d8df,222,3e2b6
195fd314e,84,3e2b6
989946ab6,222,3e2b6
0721f0724,84,3e2b6
83fb7d565,98,3e2b6
500585f4f,84,3e2b6
e895ed2aa,265,3e2b6
beb5f9d81,222,3e2b6
e147d6fa6,265,3e2b6
7dceb0385,265,3e2b6
1f172e56e,98,3e2b6
1d1b8fa97,84,3e2b6
3b795a698,265,3e2b6
2e67e22e3,84,3e2b6
fbdb15ad4,98,3e2b6
ce908ffd8,265,3e2b6
27ca13b74,265,3e2b6
2312c6b37,222,3e2b6
94e6c71e3,265,3e2b6
36e98fecc,222,3e2b6
8e530e6c8,98,3e2b6
91a3827e4,84,3e2b6
2aebb9f83,84,3e2b6
b2ddd899b,222,3e2b6
6755bbe99,265,3e2b6
f94218173,265,3e2b6
a6707d034,265,3e2b6
39a82b145,265,3e2b6
bb482666b,265,3e2b6
063d4bedf,98,3e2b6
c1c29f364,84,3e2b6
3acefec94,265,3e2b6
3f362f915,84,3e2b6
9e0ad187d,222,3e2b6
f8f1a589e,222,3e2b6
0f3da5a38,265,3e2b6
13c26da07,222,3e2b6
c229a98b0,265,3e2b6
bfc52e428,84,3e2b6
a50915ee5,98,3e2b6
90ce8ca38,84,3e2b6
38eef949d,98,3e2b6
0b05bc81b,265,3e2b6
