order_id,order_time,driver_arrival_time,driver_pickup_time,delivery_time,order_value,eater_id,order_ready,driver_arrival_period,driver_waiting_time
3d5a8f215,2023-06-01 06:50:00,2023-06-01 06:55:00,2023-06-01 06:58:00,2023-06-01 07:24:00,26.53,1796074217,8.0,5.0,3.0
ac9a86a58,2023-06-01 06:54:00,2023-06-01 07:04:00,2023-06-01 07:10:00,2023-06-01 07:28:00,21.06,7542432111,16.0,10.0,6.0
3d0ca4ace,2023-06-01 07:05:00,2023-06-01 07:15:00,2023-06-01 07:17:00,2023-06-01 07:43:00,17.45,3770286935,12.0,10.0,2.0
56294ed86,2023-06-01 07:41:00,2023-06-01 07:56:00,2023-06-01 08:04:00,2023-06-01 08:29:00,24.2,6387257939,23.0,15.0,8.0
482bb4a0e,2023-06-01 07:42:00,2023-06-01 08:00:00,2023-06-01 08:08:00,2023-06-01 08:21:00,18.91,9446274805,26.0,18.0,8.0
4256c9cef,2023-06-01 07:46:00,2023-06-01 08:05:00,2023-06-01 08:14:00,2023-06-01 08:30:00,17.23,6722529539,28.0,19.0,9.0
642b80129,2023-06-01 08:31:00,2023-06-01 08:51:00,2023-06-01 08:53:00,2023-06-01 09:13:00,12.18,6486432719,22.0,20.0,2.0
eaa72eb2c,2023-06-01 09:07:00,2023-06-01 09:13:00,2023-06-01 09:15:00,2023-06-01 09:27:00,158.9,8278970263,8.0,6.0,2.0
ed46f2220,2023-06-01 10:37:00,2023-06-01 10:42:00,2023-06-01 10:49:00,2023-06-01 11:05:00,20.68,5158984620,12.0,5.0,7.0
3a3e1463a,2023-06-01 10:37:00,2023-06-01 10:45:00,2023-06-01 10:47:00,2023-06-01 11:06:00,11.7,9706686792,10.0,8.0,2.0
103b82eaa,2023-06-01 11:05:00,2023-06-01 11:14:00,2023-06-01 11:20:00,2023-06-01 11:49:00,22.39,1269831876,15.0,9.0,6.0
046c07dea,2023-06-01 11:28:00,2023-06-01 11:35:00,2023-06-01 11:45:00,2023-06-01 11:58:00,36.24,2115044461,17.0,7.0,10.0
2262df165,2023-06-01 11:30:00,2023-06-01 11:47:00,2023-06-01 11:56:00,2023-06-01 12:16:00,30.33,6003839890,26.0,17.0,9.0
83ecbde2c,2023-06-01 11:43:00,2023-06-01 12:00:00,2023-06-01 12:04:00,2023-06-01 12:28:00,25.4,9912641295,21.0,17.0,4.0
06a40e83d,2023-06-01 11:46:00,2023-06-01 11:55:00,2023-06-01 12:00:00,2023-06-01 12:21:00,783.25,4592118475,14.0,9.0,5.0
914a79e98,2023-06-01 12:16:00,2023-06-01 12:21:00,2023-06-01 12:29:00,2023-06-01 12:42:00,14.91,2920518803,13.0,5.0,8.0
